id,domain,name,module,description,status,surface,dependents,loc,tests,weight,owner,marketing_description,notes
"app.plexidesk.home","App","Home","plexidesk","The segment landing page","active","","","","0",,,,
"app.plexidesk.desk","App","My Desk","plexidesk","An app inside the segment","active","","","","0",,,,
"app.plexidesk.workspaces","App","Workspaces","plexidesk","An app inside the segment","active","","","","0",,,,
"app.plexidesk.plans","App","Plans","plexidesk","An app inside the segment","active","","","","0",,,,
"app.plexidesk.ops","App","Agentic Ops","plexidesk","An app inside the segment","active","","","","0",,,,
"app.plexidesk.tasks","App","Desks","plexidesk","An app inside the segment","active","","","","0",,,,
"app.plexidesk.calendar","App","Calendar","plexidesk","An app inside the segment","active","","","","0",,,,
"app.plexidesk.files","App","Files","plexidesk","An app inside the segment","active","","","","0",,,,
"app.plexidesk.recent","App","Recent","plexidesk","An app inside the segment","active","","","","0",,,,
"app.plexipeople.home","App","People Home","plexipeople","The segment landing page","active","","","","0",,,,
"app.plexipeople.directory","App","Directory","plexipeople","An app inside the segment","active","","","","0",,,,
"app.plexipeople.workspaces","App","Organisation","plexipeople","An app inside the segment","active","","","","0",,,,
"app.plexipeople.map","App","Organisation Map","plexipeople","An app inside the segment","active","","","","0",,,,
"app.plexibrain.home","App","Brain Home","plexibrain","The segment landing page","active","","","","0",,,,
"app.plexibrain.ask","App","Ask Brain","plexibrain","An app inside the segment","active","","","","0",,,,
"app.plexibrain.search","App","Search","plexibrain","An app inside the segment","active","","","","0",,,,
"app.plexibrain.map","App","Brain Map","plexibrain","An app inside the segment","active","","","","0",,,,
"app.plexibrain.decisions","App","Decisions","plexibrain","An app inside the segment","active","","","","0",,,,
"app.plexibrain.assemble","App","Assemble a desk","plexibrain","An app inside the segment","active","","","","0",,,,
"app.plexibrain.flows","App","Flows","plexibrain","An app inside the segment","active","","","","0",,,,
"app.plexibrain.agents","App","Agents","plexibrain","An app inside the segment","active","","","","0",,,,
"app.plexibrain.connect","App","Connect","plexibrain","An app inside the segment","active","","","","0",,,,
"app.plexibrain.api","App","APIs","plexibrain","An app inside the segment","active","","","","0",,,,
"app.plexibrain.insights","App","Insights","plexibrain","An app inside the segment","active","","","","0",,,,
"app.office.home","App","Office Home","office","The segment landing page","active","","","","1",,,,
"app.office.mail","App","Mail","office","An app inside the segment","active","","","","0",,,,
"app.office.inbox","App","Inbox","office","An app inside the segment","active","","","","0",,,,
"app.office.chat","App","Chat","office","An app inside the segment","active","","","","1",,,,
"app.office.meet","App","Meet","office","An app inside the segment","active","","","","0",,,,
"app.office.sign","App","Sign","office","An app inside the segment","active","","","","0",,,,
"app.office.browser","App","Browser","office","An app inside the segment","active","","","","1",,,,
"app.office.docs","App","PlexiDocs","office","An app inside the segment","active","","","","0",,,,
"app.office.sheets","App","PlexiSheets","office","An app inside the segment","active","","","","0",,,,
"app.office.slides","App","PlexiSlides","office","An app inside the segment","active","","","","0",,,,
"app.office.diagrams","App","PlexiDiagrams","office","An app inside the segment","active","","","","0",,,,
"app.office.design","App","PlexiDesign","office","An app inside the segment","active","","","","0",,,,
"app.office.draw","App","PlexiDraw","office","An app inside the segment","active","","","","0",,,,
"view.home","Screen","home","Navigation","No parameters — a place, not a thing","active","","","","12",,,,
"view.all-tasks","Screen","all-tasks","Navigation","No parameters — a place, not a thing","active","","","","0",,,,
"view.rooms","Screen","rooms","Navigation","No parameters — a place, not a thing","active","","","","2",,,,
"view.desks","Screen","desks","Navigation","Carries: roomId","active","","","","3",,,,
"view.shared","Screen","shared","Navigation","No parameters — a place, not a thing","active","","","","3",,,,
"view.trash","Screen","trash","Navigation","No parameters — a place, not a thing","active","","","","7",,,,
"view.attention","Screen","attention","Navigation","No parameters — a place, not a thing","active","","","","8",,,,
"view.calendar","Screen","calendar","Navigation","No parameters — a place, not a thing","active","","","","18",,,,
"view.project-dashboard","Screen","project-dashboard","Navigation","Carries: projectId","active","","","","4",,,,
"view.task","Screen","task","Navigation","Carries: taskId","active","","","","300",,,,
"view.connected-app","Screen","connected-app","Navigation","Carries: appId","active","","","","2",,,,
"view.vault","Screen","vault","Navigation","No parameters — a place, not a thing","active","","","","2",,,,
"view.messages","Screen","messages","Navigation","No parameters — a place, not a thing","active","","","","7",,,,
"view.inbox","Screen","inbox","Navigation","No parameters — a place, not a thing","active","","","","5",,,,
"view.mail","Screen","mail","Navigation","No parameters — a place, not a thing","active","","","","15",,,,
"view.documents","Screen","documents","Navigation","No parameters — a place, not a thing","active","","","","10",,,,
"view.office","Screen","office","Navigation","Carries: app, doc","active","","","","13",,,,
"view.plexidesk","Screen","plexidesk","Navigation","Carries: app","active","","","","2",,,,
"view.plexipeople","Screen","plexipeople","Navigation","Carries: app","active","","","","2",,,,
"view.plexibrain","Screen","plexibrain","Navigation","Carries: app","active","","","","5",,,,
"view.plexii","Screen","plexii","Navigation","No parameters — a place, not a thing","active","","","","5",,,,
"view.design","Screen","design","Navigation","No parameters — a place, not a thing","active","","","","17",,,,
"view.draw","Screen","draw","Navigation","No parameters — a place, not a thing","active","","","","8",,,,
"view.document","Screen","document","Navigation","Carries: documentId","active","","","","29",,,,
"view.livedoc","Screen","livedoc","Navigation","Carries: liveDocId","active","","","","1",,,,
"view.livefolder","Screen","livefolder","Navigation","Carries: liveFolderId","active","","","","1",,,,
"view.collaborations","Screen","collaborations","Navigation","No parameters — a place, not a thing","active","","","","0",,,,
"view.insights","Screen","insights","Navigation","No parameters — a place, not a thing","active","","","","1",,,,
"view.files","Screen","files","Navigation","No parameters — a place, not a thing","active","","","","11",,,,
"view.organization","Screen","organization","Navigation","No parameters — a place, not a thing","active","","","","2",,,,
"view.people-map","Screen","people-map","Navigation","No parameters — a place, not a thing","active","","","","0",,,,
"view.suite","Screen","suite","Navigation","No parameters — a place, not a thing","active","","","","4",,,,
"view.product","Screen","product","Navigation","Carries: productKey","active","","","","0",,,,
"view.knowledge","Screen","knowledge","Navigation","Carries: entryId","active","","","","13",,,,
"view.meetings","Screen","meetings","Navigation","No parameters — a place, not a thing","active","","","","1",,,,
"view.apps","Screen","apps","Navigation","No parameters — a place, not a thing","active","","","","4",,,,
"view.forms","Screen","forms","Navigation","No parameters — a place, not a thing","active","","","","2",,,,
"view.sign","Screen","sign","Navigation","No parameters — a place, not a thing","active","","","","3",,,,
"view.search","Screen","search","Navigation","No parameters — a place, not a thing","active","","","","3",,,,
"view.projects","Screen","projects","Navigation","No parameters — a place, not a thing","active","","","","12",,,,
"view.reports","Screen","reports","Navigation","No parameters — a place, not a thing","active","","","","7",,,,
"view.flows","Screen","flows","Navigation","No parameters — a place, not a thing","active","","","","4",,,,
"view.api","Screen","api","Navigation","No parameters — a place, not a thing","active","","","","6",,,,
"view.marketplace","Screen","marketplace","Navigation","No parameters — a place, not a thing","active","","","","0",,,,
"view.mdext","Screen","mdext","Navigation","Carries: path","active","","","","0",,,,
"widget.task-list","Widget","Tasks","Desk canvas / Tools","This desk's own tasks, with the whole workspace one click away","active","","","","6",,,,
"widget.metrics","Widget","Metrics","Desk canvas / Tools","Several numbers read together, each with its own history","active","","","","3",,,,
"widget.contacts","Widget","Contacts","Desk canvas / Comms","The handful of people this desk is about","active","","","","3",,,,
"widget.inbox","Widget","Inbox","Desk canvas / Comms","Your mail, narrowed to what this desk is about by a rule you write","active","","","","5",,,,
"widget.location-map","Widget","Map","Desk canvas / Files","A real address on a real map — search, pan and zoom (OpenStreetMap)","active","","","","3",,,,
"widget.calendar","Widget","Calendar","Desk canvas / Tools","The month, marked with this desk’s due dates and booked time","active","","","","18",,,,
"widget.stat-card","Widget","Stat card","Desk canvas / Tools","A number worth watching, and how it got there","active","","","","4",,,,
"widget.gallery","Widget","Gallery","Desk canvas / Files","A grid of pictures, kept in this workspace","active","","","","2",,,,
"widget.attention","Widget","Attention","Desk canvas / Tools","This desk’s attention items — or all of them","active","","","","8",,,,
"widget.custom","Widget","Custom","Desk canvas / Tools","Describe any tool you need and have it built here","active","","","","6",,,,
"widget.image-gen","Widget","Image","Desk canvas / Tools","Describe an image and generate it here","active","","","","3",,,,
"widget.sticky","Widget","Sticky","Desk canvas / Notes","Small colored note pinned to the desk","active","","","","148",,,,
"widget.note","Widget","Note","Desk canvas / Notes","Larger paper for longer writing","active","","","","78",,,,
"widget.markdown","Widget","Markdown","Desk canvas / Notes","One portable note in markdown — slash menu, export, copy out. Use Page for rich multi-block docs.","active","","","","17",,,,
"widget.local-app-launcher","Widget","App launcher","Desk canvas / Layout","One-click tile that launches a native Mac app — drag a Local app from the sidebar to create one","active","","","","3",,,,
"widget.file","Widget","File or link","Desk canvas / Files","Upload any file (PDF, image, video, audio, doc) or paste a cloud link (Google Doc, Drive, Notion). Auto-detects type and renders the right preview.","active","","","","27",,,,
"widget.drive","Widget","Drive (folder)","Desk canvas / Files","A folder from your Files, pinned to this desk. Lists its contents, opens it in Files, and any file you drop or add saves straight into that folder.","active","","","","2",,,,
"widget.field","Widget","Field","Desk canvas / Tools","A single typed field — text, number, select, checkbox, attachment, button. Pick the type after creating.","active","","","","13",,,,
"widget.page","Widget","Page","Desk canvas / Notes","A rich multi-block document (headings, lists, todos, slash-command AI). Use Markdown for a single portable note.","active","","","","22",,,,
"widget.table","Widget","Table","Desk canvas / Tools","Airtable-style database — rows + columns of typed fields","active","","","","64",,,,
